srcip,record_id,classification,severity,risk_score,connection_count,unique_dstip_count,unique_dsport_count,dst_src_relationship_count,state_ttl_count,attack_cat,label,reason
record-12560,12560,High Risk,High,85,60,59,59,59,2,Generic,1,Elevated connection volume: 60 connections; High destination diversity: 59 destinations; High port diversity: 59 destination ports; Repeated source-destination behavior: 59 links
record-12574,12574,High Risk,High,85,60,59,59,59,2,Generic,1,Elevated connection volume: 60 connections; High destination diversity: 59 destinations; High port diversity: 59 destination ports; Repeated source-destination behavior: 59 links
record-12578,12578,High Risk,High,85,60,59,59,59,2,Generic,1,Elevated connection volume: 60 connections; High destination diversity: 59 destinations; High port diversity: 59 destination ports; Repeated source-destination behavior: 59 links
record-13201,13201,High Risk,High,85,60,59,59,59,2,Generic,1,Elevated connection volume: 60 connections; High destination diversity: 59 destinations; High port diversity: 59 destination ports; Repeated source-destination behavior: 59 links
record-13366,13366,High Risk,High,85,60,59,59,59,2,Generic,1,Elevated connection volume: 60 connections; High destination diversity: 59 destinations; High port diversity: 59 destination ports; Repeated source-destination behavior: 59 links
record-13369,13369,High Risk,High,85,60,59,59,59,2,Generic,1,Elevated connection volume: 60 connections; High destination diversity: 59 destinations; High port diversity: 59 destination ports; Repeated source-destination behavior: 59 links
record-13375,13375,High Risk,High,85,60,59,59,59,2,Generic,1,Elevated connection volume: 60 connections; High destination diversity: 59 destinations; High port diversity: 59 destination ports; Repeated source-destination behavior: 59 links
record-13401,13401,High Risk,High,85,60,59,59,59,2,Generic,1,Elevated connection volume: 60 connections; High destination diversity: 59 destinations; High port diversity: 59 destination ports; Repeated source-destination behavior: 59 links
record-13405,13405,High Risk,High,85,60,59,59,59,2,Generic,1,Elevated connection volume: 60 connections; High destination diversity: 59 destinations; High port diversity: 59 destination ports; Repeated source-destination behavior: 59 links
record-13410,13410,High Risk,High,85,60,59,59,59,2,Generic,1,Elevated connection volume: 60 connections; High destination diversity: 59 destinations; High port diversity: 59 destination ports; Repeated source-destination behavior: 59 links
record-12583,12583,High Risk,High,85,52,52,52,52,2,Generic,1,Elevated connection volume: 52 connections; High destination diversity: 52 destinations; High port diversity: 52 destination ports; Repeated source-destination behavior: 52 links
record-12587,12587,High Risk,High,85,52,52,52,52,2,Generic,1,Elevated connection volume: 52 connections; High destination diversity: 52 destinations; High port diversity: 52 destination ports; Repeated source-destination behavior: 52 links
record-12621,12621,High Risk,High,85,52,52,52,52,2,Generic,1,Elevated connection volume: 52 connections; High destination diversity: 52 destinations; High port diversity: 52 destination ports; Repeated source-destination behavior: 52 links
record-12643,12643,High Risk,High,85,52,52,52,52,2,Generic,1,Elevated connection volume: 52 connections; High destination diversity: 52 destinations; High port diversity: 52 destination ports; Repeated source-destination behavior: 52 links
record-12692,12692,High Risk,High,85,52,52,52,52,2,Generic,1,Elevated connection volume: 52 connections; High destination diversity: 52 destinations; High port diversity: 52 destination ports; Repeated source-destination behavior: 52 links
record-12863,12863,High Risk,High,85,50,50,50,50,2,Generic,1,Elevated connection volume: 50 connections; High destination diversity: 50 destinations; High port diversity: 50 destination ports; Repeated source-destination behavior: 50 links
record-13114,13114,Suspicious,Medium,52,48,48,48,48,2,Generic,1,Elevated destination diversity: 48 destinations; High port diversity: 48 destination ports; Repeated source-destination behavior: 48 links
record-13119,13119,Suspicious,Medium,52,48,48,48,48,2,Generic,1,Elevated destination diversity: 48 destinations; High port diversity: 48 destination ports; Repeated source-destination behavior: 48 links
record-13122,13122,Suspicious,Medium,52,48,48,48,48,2,Generic,1,Elevated destination diversity: 48 destinations; High port diversity: 48 destination ports; Repeated source-destination behavior: 48 links
record-13126,13126,Suspicious,Medium,52,48,48,48,48,2,Generic,1,Elevated destination diversity: 48 destinations; High port diversity: 48 destination ports; Repeated source-destination behavior: 48 links
record-13130,13130,Suspicious,Medium,52,48,48,48,48,2,Generic,1,Elevated destination diversity: 48 destinations; High port diversity: 48 destination ports; Repeated source-destination behavior: 48 links
record-13133,13133,Suspicious,Medium,52,48,48,48,48,2,Generic,1,Elevated destination diversity: 48 destinations; High port diversity: 48 destination ports; Repeated source-destination behavior: 48 links
record-11983,11983,Suspicious,Medium,52,47,47,47,47,2,Generic,1,Elevated destination diversity: 47 destinations; High port diversity: 47 destination ports; Repeated source-destination behavior: 47 links
record-11987,11987,Suspicious,Medium,52,47,47,47,47,2,Generic,1,Elevated destination diversity: 47 destinations; High port diversity: 47 destination ports; Repeated source-destination behavior: 47 links
record-12003,12003,Suspicious,Medium,52,47,47,47,47,2,Generic,1,Elevated destination diversity: 47 destinations; High port diversity: 47 destination ports; Repeated source-destination behavior: 47 links
record-12007,12007,Suspicious,Medium,52,47,47,47,47,2,Generic,1,Elevated destination diversity: 47 destinations; High port diversity: 47 destination ports; Repeated source-destination behavior: 47 links
record-12011,12011,Suspicious,Medium,52,47,47,47,47,2,Generic,1,Elevated destination diversity: 47 destinations; High port diversity: 47 destination ports; Repeated source-destination behavior: 47 links
